ID,source,ra,dec,l,b,vlsr,vlsrnew,distance,distancenew
58,I16065-5158,16:10:19.600,-52:06:07.10,330.87788,-0.36624,-63.3,-62.5,3.98,4.33
59,I16071-5142,16:10:59.010,-51:50:21.60,331.13062,-0.24240,-87.0,-86.5,5.3,5.29
60,I16076-5134,16:11:27.120,-51:41:56.90,331.27918,-0.18915,-87.7,-87.8,5.3,5.31
61,I16119-5048,16:15:45.650,-50:55:58.50,332.29482,-0.09513,-48.2,-48.6,3.1,3.42
62,I16132-5039_1,16:17:01.920,-50:46:51.00,332.54480,-0.12485,-47.5,-47.6,3.1,3.36
63,I16132-5039_2,16:17:02.690,-50:47:07.10,332.54315,-0.12947,-47.5,-47.6,3.1,3.36
64,I16164-5046,16:20:10.910,-50:53:15.50,332.82560,-0.54900,-57.3,-56.7,3.57,4.02
65,I16172-5028_1,16:21:02.930,-50:35:11.60,333.13502,-0.43180,-51.9,-53.3,3.57,3.78
66,I16172-5028_2,16:21:00.160,-50:35:09.10,333.13032,-0.42614,-51.9,-53.3,3.57,3.79
67,I16177-5018,16:21:31.490,-50:25:04.50,333.30767,-0.36574,-50.2,-50.0,3.57,3.53
68,I16272-4837,16:30:58.020,-48:43:46.60,335.58505,-0.28737,-46.6,-46.8,2.92,3.54
69,I16297-4757,16:33:29.290,-48:03:31.50,336.36099,-0.13529,-79.6,-79.3,5.03,5.1
70,I16304-4710,16:34:04.800,-47:16:32.00,337.00368,+0.32327,-62.8,-62.3,11.32,10.5
71,I16313-4729,16:34:55.440,-47:35:40.90,336.86551,+0.00213,-73.7,-74.1,4.71,4.99
72,I16318-4724,16:35:33.200,-47:31:11.30,336.99245,-0.02558,-119.8,-120.8,7.68,7.95
73,I16330-4725,16:36:42.600,-47:31:30.80,337.11993,-0.17360,-75.1,-75.4,10.99,9.96
74,I16344-4658,16:38:10.380,-47:04:56.70,337.61479,-0.06089,-49.5,-49.7,12.09,11.23
75,I16348-4654,16:38:29.420,-47:00:39.70,337.70403,-0.05342,-46.5,-47.8,12.09,11.33
76,I16351-4722,16:38:50.610,-47:27:59.70,337.40474,-0.40206,-41.4,-40.8,3.02,2.33
77,I16362-4639,16:39:57.700,-46:45:04.30,338.06530,-0.06792,-38.8,-38.6,3.01,2.26
78,I16372-4545,16:40:54.770,-45:50:53.60,338.85013,+0.40789,-57.3,-57.5,4.16,4.42
79,I16385-4619,16:42:13.980,-46:25:27.20,338.56865,-0.14425,-117.0,-117.0,7.11,5.76
80,I16424-4531,16:46:06.610,-45:36:46.60,339.62257,-0.12249,-34.2,-34.5,2.63,2.19
81,I16445-4459,16:48:05.180,-45:05:08.60,340.24917,-0.04582,-121.3,-122.2,7.95,7.72
82,I16458-4512,16:49:30.410,-45:17:53.60,340.24749,-0.37413,-50.4,-50.9,3.56,4.19
83,I16484-4603,16:52:03.990,-46:08:24.60,339.88482,-1.25558,-32.0,-32.4,2.1,2.17
84,I16487-4423_1,16:52:23.670,-44:27:52.30,341.21578,-0.23579,-43.4,-44.0,3.26,2.65
85,I16487-4423_2,16:52:21.590,-44:28:00.60,341.21007,-0.23248,-43.4,-44.0,3.26,2.65
86,I16489-4431,16:52:34.080,-44:36:16.70,341.12713,-0.34861,-41.3,-41.1,3.26,2.48
87,I16524-4300,16:56:03.060,-43:04:47.30,342.70669,+0.12514,-40.8,-40.6,3.43,2.52
88,I16547-4247,16:58:17.260,-42:52:04.50,343.12750,-0.06248,-30.4,-30.6,2.74,2.19
89,I16562-3959,16:59:41.450,-40:03:34.60,345.49528,+1.47062,-12.6,-11.3,2.38,1.37
90,I16571-4029,17:00:32.380,-40:34:13.80,345.19280,+1.02820,-15.0,-15.4,2.38,2.13
91,I17006-4215,17:04:13.200,-42:19:54.20,344.22119,-0.59458,-23.2,-24.3,2.21,2.85
92,I17008-4040,17:04:23.200,-40:44:24.90,345.50460,+0.34705,-17.0,-17.3,2.38,1.33
93,I17016-4124,17:05:11.020,-41:29:07.80,345.00285,-0.22408,-27.1,-26.8,1.37,3.16
94,I17136-3617,17:17:02.290,-36:21:02.10,350.50570,+0.95672,-10.6,-11.6,1.34,1.33
95,I17143-3700,17:17:45.650,-37:03:11.80,350.01583,+0.43248,-31.1,-31.7,12.67,11.71
96,I17158-3901,17:19:20.340,-39:03:53.30,348.54925,-0.97890,-15.2,-16.6,3.38,3.33
97,I17160-3707,17:19:27.310,-37:11:00.40,350.10365,+0.08132,-69.5,-69.4,10.53,10.28
98,I17175-3544,17:20:53.570,-35:46:59.80,351.41758,+0.64492,-5.7,-8.7,1.34,1.32
99,I17204-3636,17:23:50.320,-36:38:58.10,351.04114,-0.33570,-18.2,-18.1,3.32,3.27
100,I17220-3609,17:25:24.990,-36:12:41.10,351.58185,-0.35181,-93.7,-97.2,8.01,8.05
101,I17233-3606,17:26:42.800,-36:09:16.80,351.77525,-0.53699,-2.7,-3.1,1.34,1.32
102,I17244-3536,17:27:48.710,-35:39:10.80,352.31584,-0.44245,-10.2,-10.8,1.36,2.63
103,I17258-3637,17:29:17.130,-36:40:12.60,351.63374,-1.25360,-11.9,-10.5,2.59,1.33
104,I17269-3312_1,17:30:15.200,-33:14:57.50,354.59672,+0.46787,-21.0,-21.4,4.38,4.53
105,I17269-3312_2,17:30:14.120,-33:14:22.60,354.60274,+0.47635,-21.0,-21.4,4.38,4.53
106,I17271-3439_1,17:30:26.210,-34:41:45.40,353.40990,-0.36021,-18.2,-17.2,3.1,3.66
107,I17271-3439_2,17:30:27.710,-34:41:45.90,353.41261,-0.36457,-18.2,-17.2,3.1,3.67
108,I17278-3541,17:31:14.070,-35:44:04.30,352.63152,-1.06690,-0.4,-0.5,1.33,1.32
109,I17439-2845_1,17:47:09.060,-28:46:17.80,0.31480,-0.20090,18.7,18.4,8.0,6.93
110,I17439-2845_2,17:47:07.190,-28:46:01.30,0.31518,-0.19269,18.7,18.4,8.0,6.94
111,I17441-2822,17:47:19.790,-28:23:05.70,0.66589,-0.03412,50.8,50.8,8.1,8.3
112,I17455-2800,17:48:41.630,-28:01:44.60,1.12584,-0.10749,-15.6,-14.8,10.0,11.14
113,I17545-2357,17:57:34.490,-23:58:04.30,5.63735,+0.23748,7.9,8.8,2.93,3.0
114,I17589-2312,18:01:58.000,-23:12:32.00,6.79633,-0.25777,21.3,20.5,2.97,3.44
115,I17599-2148,18:03:01.470,-21:48:06.30,8.14078,+0.22409,18.6,18.6,2.99,3.44
116,I18032-2032,18:06:14.300,-20:31:35.00,9.61969,+0.19657,4.3,4.4,5.15,4.8
117,I18056-1952,18:08:38.180,-19:51:49.00,10.47249,+0.02752,66.7,66.4,8.55,8.44
118,I18075-2040,18:10:34.500,-20:39:16.10,10.00023,-0.75297,31.5,31.2,3.08,2.8
119,I18079-1756,18:10:50.770,-17:55:45.20,12.41844,+0.50544,18.0,17.8,1.83,2.32
120,I18089-1732,18:11:51.060,-17:31:27.20,12.88863,+0.49074,33.5,32.9,2.5,3.64
121,I18110-1854,18:14:01.050,-18:53:23.30,11.93713,-0.61570,37.0,38.5,3.37,3.17
122,I18116-1646,18:14:35.960,-16:45:36.80,13.87386,+0.28067,48.5,48.8,3.94,3.86
123,I18117-1753,18:14:39.250,-17:51:59.80,12.90811,-0.25932,36.7,37.1,2.57,3.63
124,I18134-1942,18:16:22.120,-19:41:27.00,11.49742,-1.48527,10.6,10.5,1.25,1.25
125,I18139-1842,18:16:51.590,-18:41:34.70,12.43083,-1.11328,39.8,39.8,3.02,3.0
126,I18159-1648,18:18:54.340,-16:47:45.90,14.33225,-0.64324,22.0,22.4,1.48,2.83
127,I18182-1433,18:21:09.220,-14:31:46.80,16.58584,-0.05082,59.1,59.3,4.71,3.66
128,I18223-1243,18:25:10.580,-12:42:22.20,18.65473,-0.05887,44.8,45.0,3.37,3.46
129,I18228-1312,18:25:42.270,-13:10:17.00,18.30343,-0.38990,32.3,32.8,3.21,3.2
130,I18236-1205,18:26:25.650,-12:03:57.60,19.36348,-0.03031,25.9,26.1,2.17,2.88
131,I18264-1152,18:29:14.500,-11:50:19.50,19.88476,-0.53396,43.2,43.6,3.33,3.35
132,I18290-0924_1,18:31:42.980,-09:22:26.00,22.35097,+0.06876,84.2,84.0,5.34,4.69
133,I18290-0924_2,18:31:43.740,-09:22:19.00,22.35413,+0.06689,84.2,84.0,5.34,4.69
134,I18308-0503_1,18:33:29.780,-05:01:04.30,26.41961,+1.68770,42.9,42.6,3.1,3.75
135,I18308-0503_2,18:33:30.850,-05:00:58.70,26.42303,+1.68447,42.9,42.6,3.1,3.75
136,I18311-0809,18:33:53.430,-08:07:14.40,23.71065,+0.17082,113.0,112.9,6.06,6.27
137,I18314-0720_1,18:34:10.010,-07:18:00.30,24.47044,+0.48830,101.5,101.3,5.82,6.15
138,I18314-0720_2,18:34:09.050,-07:17:50.80,24.47095,+0.49303,101.5,101.3,5.82,6.15
139,I18316-0602,18:34:20.580,-05:59:41.60,25.64915,+1.05073,42.8,42.7,2.09,3.76
140,I18317-0513,18:34:25.800,-05:10:53.50,26.38134,+1.40596,42.1,41.8,2.18,3.73
141,I18317-0757,18:34:24.900,-07:54:47.60,23.95460,+0.15119,80.7,81.2,4.79,4.7
142,I18341-0727,18:36:50.400,-07:24:48.00,24.67487,-0.15227,112.7,113.1,6.04,6.39
143,I18411-0338,18:43:46.260,-03:35:23.90,28.86343,+0.06630,102.8,103.5,7.41,5.46
144,I18434-0242,18:46:04.200,-02:39:18.30,29.95723,-0.01729,97.2,97.5,5.16,4.76
145,I18440-0148,18:46:36.390,-01:45:22.00,30.81828,+0.27376,97.5,97.6,5.16,6.04
146,I18445-0222,18:47:09.760,-02:18:47.60,30.38596,-0.10410,86.9,86.6,5.16,6.24
147,I18461-0113,18:48:42.230,-01:10:05.40,31.58061,+0.07556,96.1,96.0,5.16,5.67
148,I18469-0132,18:49:33.150,-01:29:06.20,31.39533,-0.25773,87.0,86.6,5.16,4.91
149,I18479-0005,18:50:31.200,-00:01:56.00,32.79860,+0.18954,14.6,14.6,12.96,12.87
150,I18507+0110,18:53:18.120,+01:15:00.10,34.25691,+0.15530,57.2,58.2,1.56,3.23
151,I18507+0121,18:53:18.150,+01:25:22.40,34.41081,+0.23402,57.9,57.8,1.56,3.09
152,I18517+0437,18:54:14.110,+04:41:43.10,37.43000,+1.51849,43.9,43.9,2.36,2.36
153,I18530+0215,18:55:33.610,+02:19:09.00,35.46573,+0.14083,74.1,76.9,4.67,5.08
154,I19078+0901,19:10:13.410,+09:06:10.40,43.16581,+0.01086,2.9,6.2,11.11,11.49
155,I19095+0930,19:11:53.900,+09:35:45.90,43.79414,-0.12749,43.7,43.8,6.02,9.07
156,I19097+0847,19:12:08.900,+08:52:07.80,43.17804,-0.51881,58.0,58.2,8.47,7.83
